domain_name,platform
dev.ch-poitiers.fr,gitlab
edu-git.ac-versailles.fr,gitlab
forge.grandlyon.com,gitlab
forge.ird.fr,gitlab
forge.univ-lyon1.fr,gitlab
forgemia.inra.fr,gitlab
framagit.org,gitlab
git.ademe.fr,gitlab
git.beta.pole-emploi.fr,gitlab
git.cines.fr,gitlab
github.com,github
gitlab-fil.univ-lille.fr,gitlab
gitlab-forge.din.developpement-durable.gouv.fr,gitlab
gitlab.adullact.net,gitlab
gitlab.ccsd.cnrs.fr,gitlab
gitlab.cerema.fr,gitlab
gitlab.com,gitlab
gitlab.cristal.univ-lille.fr,gitlab
gitlab.fresnel.fr,gitlab
gitlab.huma-num.fr,gitlab
gitlab.in2p3.fr,gitlab
gitlab.inria.fr,gitlab
gitlab.lip6.fr,gitlab
gitlab.math.unistra.fr,gitlab
gitlab.mbb.cnrs.fr,gitlab
gitlab.mbb.univ-montp2.fr,gitlab
gitlab.mim-libre.fr,gitlab
gitlab.mobilites-m.fr,gitlab
gitlab.orfeo-toolbox.org,gitlab
gitlab.ow2.org,gitlab
gitlab.univ-lille.fr,gitlab
gitlabjf.ccomptes.fr,gitlab
gitub.u-bordeaux.fr,gitlab
gricad-gitlab.univ-grenoble-alpes.fr,gitlab
plmlab.math.cnrs.fr,gitlab
src.koda.cnrs.fr,gitlab
src.koda.dsi.cnrs.fr,gitlab
git.lias-lab.fr,gitlab
gitlab.univ-lr.fr,gitlab
gitlab.cirad.fr,gitlab
gitlab.telecom-paris.fr,gitlab
cip.culture.fr/gitlab,gitlab
gitlab-research.centralesupelec.fr,gitlab
gitlab.inha.fr,gitlab
gitlab.obspm.fr,gitlab
gitlab.sevre-nantaise.com,gitlab
gitlab.dsi.universite-paris-saclay.fr,gitlab
gitlabev.imtbs-tsp.eu,gitlab
gitlab.labocleo.org,gitlab
gitlab.pmcs2i.ec-lyon.fr,gitlab
gitlab.univ-nantes.fr,gitlab
gogs.univ-littoral.fr,gogs
gitlab.limos.fr,gitlab
gitlab.oca.eu,gitlab
gitlab.esrf.fr,gitlab
gitlab.univ-eiffel.fr,gitlab
gitlab.has-sante.fr,gitlab
gitlab.ofb.fr,gitlab
gitlab.softwareheritage.org,gitlab
lab.unif.app,gitlab
forge.aeif.fr,gitlab
gitlab.emi.u-bordeaux.fr,gitlab
gitlab.unistra.fr,gitlab
gitlab.irit.fr,gitlab
git.univ-pau.fr,gitlab
code.peren.fr,gitlab
gitlab.xlim.fr,gitlab
gitlab.villejuif.fr,gitlab
gitlab.utc.fr,gitlab
gitlab.pasteur.fr,gitlab
gitlab.math.univ-paris-diderot.fr,gitlab
git.ias.u-psud.fr,gitlab
cameleon.univ-lyon1.fr,gitlab
git.lacl.fr,gitlab
gite.lirmm.fr,gitlab
depot.lipn.univ-paris13.fr,gitlab
git-xen.lmgc.univ-montp2.fr,gitlab
gitlab.maisondelasimulation.fr,gitlab
gitlab.lam.fr,gitlab
gitlab.synchrotron-soleil.fr,gitlab
code.culture.fr,gitlab
forge.apps.education.fr,gitlab
